Rank,Δ Rank (1wk),Security,Industry,Unnamed: 4,Market Cap (MM),Short Float,SI Change (1m %),Float - SI (MM),Days to Cover,Price Momo (1m %),Shares Avail. (1K),Borrow Fee Rate,Short Squeeze Score
1,12 ↑,"BBGI / Beasley Broadcast Group, Inc.",Radio Broadcasting Stations,,40.69,34.3,168.8,0.36,1.81,202.86,150.0,151.92,99.46
2,144 ↑,SKYQ / Sky Quarry Inc.,,,19.08,74.2,1007.29,0.83,1.92,37.24,30.0,291.75,99.41
3,22 ↑,BENF / Beneficient,Finance Services,,47.17,39.35,61.82,0.63,16.82,5.52,15.0,54.11,97.99
4,83 ↑,"ROLR / High Roller Technologies, Inc.",,,79.42,37.55,568.73,2.9,0.92,81.91,8.0,119.92,97.93
5,5 ↑,LFVN / LifeVantage Corporation,Pharmaceutical Preparations,,66.49,44.74,0.73,4.63,16.04,9.59,4.0,45.58,96.29
6,1 ↓,SKIL / Skillsoft Corp.,Prepackaged Software,,59.55,21.67,1.32,3.55,14.06,28.85,70.0,44.67,96.23
7,1 ↓,"VELO / Velo3D, Inc.","Special Industry Machinery, Not Elsewhere Classified",,316.95,51.47,12.32,3.72,1.42,6.26,800.0,15.12,95.79
8,8 ↑,SEAT / Vivid Seats Inc.,Miscellaneous Amusement And Recreation,,70.6,30.02,6.34,2.44,14.17,4.45,100.0,14.51,95.66
9,7 ↓,"SNSE / Sensei Biotherapeutics, Inc.",Pharmaceutical Preparations,,39.79,105.55,19.55,0.0,31.73,-2.08,50.0,115.8,95.52
10,280 ↑,AGAE / Allied Gaming & Entertainment Inc.,Amusement And Recreation Services,,19.27,44.87,599.21,9.35,5.76,18.77,300.0,68.81,95.11
11,30 ↑,BTM / Bitcoin Depot Inc.,Finance Services,,30.65,14.79,21.64,3.84,1.24,58.54,30.0,90.18,94.69
12,3060 ↑,"SNAL / Snail, Inc.",Prepackaged Software,,24.01,52.76,94027.05,5.58,8.46,2.41,25.0,79.29,94.59
13,1 ↓,LTRN / Lantern Pharma Inc.,Pharmaceutical Preparations,,25.32,20.4,456.42,6.79,8.57,25.44,250.0,25.21,94.39
14,,HKIT / Hitek Global Inc.,,,24.9,48.58,2906.88,0.11,0.37,-30.63,3.0,158.86,94.23
15,1017 ↑,UP / Wheels Up Experience Inc.,"Air Transportation, Nonscheduled",,185.38,13.33,-9.0,5.0,0.71,-26.17,0.6,10.21,86.68
16,9 ↓,LOCL / Local Bounti Corporation,Agricultural Production - Crops,,53.34,9.71,2.93,0.52,0.13,43.58,10.0,153.75,93.67
17,8 ↓,"FLWS / 1-800-FLOWERS.COM, Inc.","Retail Stores, Not Elsewhere Classified",,223.59,85.96,-2.16,1.49,6.85,5.07,3800.0,1.65,93.53
18,10 ↓,"FIEE / FiEE, Inc.",Telephone and Telegraph Apparatus,,56.97,16.42,11.83,0.13,1.44,-1.78,65.0,91.76,93.24
19,1 ↓,PCSC / Perceptive Capital Solutions Corp,,,123.96,40.62,0.65,1.09,94.17,-0.21,600.0,4.35,93.08
20,690 ↑,"MIGI / Big Digital Energy, Inc.",Finance Services,,15.16,11.76,586.96,3.17,1.19,13.3,25.0,52.36,92.92
21,2 ↓,"CBIO / Crescent Biopharma, Inc.",,,795.8,22.17,53.92,7.81,8.59,17.32,600.0,6.82,92.85
22,19 ↓,"SST / System1, Inc.",,,29.52,10.98,91.03,3.98,0.08,24.5,4.0,672.83,92.61
23,25 ↑,RLYB / Rallybio Corporation,Pharmaceutical Preparations,,45.86,44.46,76.2,1.76,48.07,4.58,150.0,1.24,92.58
24,31 ↑,MNPR / Monopar Therapeutics Inc.,Pharmaceutical Preparations,,365.12,39.19,4.22,2.67,15.16,2.21,65.0,2.58,92.55
25,553 ↑,HTCO / High-Trend International Group,Deep Sea Foreign Transportation of Freight,,55.27,27.4,2919.15,2.09,0.23,-13.62,0.1,81.33,92.44
26,5 ↑,"FRMM / Forum Markets, Incorporated",Finance Services,,97.99,22.39,5.55,10.98,2.57,41.6,80.0,9.15,92.37
27,5 ↓,NGNE / Neurogene Inc.,Pharmaceutical Preparations,,424.58,78.0,3.25,1.13,32.83,13.29,100.0,0.7,92.31
28,11 ↓,BETR / Better Home & Finance Holding Company,Loan Brokers,,650.43,20.85,-8.65,7.93,5.49,9.05,550.0,7.22,92.23
29,17 ↑,"WYFI / WhiteFiber, Inc.",,,595.87,23.68,35.65,8.35,5.23,11.79,800.0,4.96,92.2
30,4 ↑,NUTX / Nutex Health Inc.,"Business Services, Not Elsewhere Classified",,815.32,25.44,-0.78,2.8,8.09,12.46,25.0,1.09,91.99
